"t","x","y","z"
"0.036750361","-0.061397552490234","0.059621095657349","0.060155868530273"
"0.048946205","-0.022365480661392","0.040610313415527","0.079155921936035"
"0.061144426","-0.042261451482773","0.040563583374023","0.079161643981934"
"0.073341261","-0.09900227189064","0.05947208404541","0.021169662475586"
"0.085538409","-0.11742457747459","0.021304368972778","-0.054819107055664"
"0.097733235","-0.1353018283844","0.079139709472656","0.060164451599121"
"0.109931465","-0.11533322930336","0.21203660964966","-0.073635101318359"
"0.122128203","-0.019025236368179","0.28581190109253","-0.093156814575195"
"0.134324879","0.15254360437393","0.43642544746399","0.15639400482178"
"0.146521095","0.30443689227104","0.35893058776855","0.25277614593506"
"0.15871856","0.28381234407425","0.26156234741211","0.1571569442749"
"0.170914189","0.16655308008194","0.12584018707275","-0.11035633087158"
"0.183108034","-0.024913132190704","-0.085530042648315","-0.35925197601318"
"0.195302808","-0.12054562568665","-0.23811745643616","-0.41636085510254"
"0.207494913","-0.15768739581108","-0.25597596168518","-0.24465465545654"
"0.219690769","-0.1181078851223","-0.15839445590973","-0.072078704833984"
"0.231885466","-0.021515309810638","-0.00496506690979","-0.053201675415039"
"0.244080307","-0.041197687387466","0.051230669021606","-0.053038597106934"
"0.25627524","-0.040809214115143","0.069802522659302","-0.071738243103027"
"0.268470086","-0.059052526950836","0.011244773864746","0.062350273132324"
"0.280663716","-0.058354258537292","0.011448621749878","0.19627285003662"
"0.292858957","0.018919140100479","0.049471616744995","0.19625568389893"
"0.305054572","1.370906829834E-6","0.087318658828735","0.0045089721679688"
"0.317249355","0.056609511375427","0.1418149471283","-0.12891578674316"
"0.329443451","0.074614554643631","0.15782189369202","-0.10920238494873"
"0.341636909","0.091917157173157","0.21103739738464","-0.089054107666016"
"0.353832355","0.11016830801964","0.16836428642273","-0.22214889526367"
"0.366027355","0.087967902421951","0.16424012184143","0.066879272460938"
"0.3782235","-0.083304762840271","0.10617589950562","0.20108318328857"
"0.390416875","-0.19472169876099","-0.0092754364013672","-0.0099811553955078"
"0.402613774","-0.13382315635681","-0.0096652507781982","-0.14402770996094"
